,Worm,Dataset,CPD,fDNC,StatAtlas (base),StatAtlas (retrain),CRF (base),CRF (retrain)
60,2022-06-14-13,SF,0.1323529411764706,0.5408163265306123,0.37681159420289856,0.4927536231884058,0.565217391,0.753623188
63,2022-06-28-01,SF,0.2203389830508474,0.3246753246753247,0.2711864406779661,0.4915254237288136,0.169491525,0.830508475
32,2022-07-15-12,SF,0.34375,0.5319148936170213,0.45454545454545453,0.696969696969697,0.65625,0.822580645
79,2022-07-20-01,SF,0.3116883116883117,0.3505154639175257,0.4025974025974026,0.5714285714285714,0.194805195,0.688311688
2,2022-12-21-06,SF,0.4629629629629629,0.4328358208955223,0.2962962962962963,0.5740740740740741,0.592592593,0.777777778
46,2023-01-05-18,SF,0.2682926829268293,0.3033707865168539,0.34146341463414637,0.6219512195121951,0.646341463,0.841463415
73,2023-01-06-01,SF,0.3787878787878788,0.5584415584415584,0.3484848484848485,0.6363636363636364,0.227272727,0.863636364
6,2023-01-06-08,SF,0.4444444444444444,0.5842696629213483,0.4444444444444444,0.5972222222222222,0.513888889,0.888888889
37,2023-01-09-15,SF,0.3789473684210526,0.5392156862745098,0.35789473684210527,0.5894736842105263,0.789473684,0.873684211
55,2023-01-09-22,SF,0.3026315789473684,0.3125,0.2894736842105263,0.5921052631578947,0.710526316,0.868421053
48,2023-01-10-07,SF,0.2195121951219512,0.5192307692307693,0.4024390243902439,0.6097560975609756,0.756097561,0.865853659
21,2023-01-13-07,SF,0.3055555555555556,0.5595238095238095,0.2916666666666667,0.6388888888888888,0.611111111,0.888888889
82,2023-01-16-01,SF,0.3636363636363636,0.4,0.37662337662337664,0.5714285714285714,0.727272727,0.87012987
15,2023-01-16-08,SF,0.5,0.3125,0.3382352941176471,0.5882352941176471,0.617647059,0.794117647
84,2023-01-16-15,SF,0.3428571428571428,0.5824175824175825,0.2571428571428571,0.4714285714285714,0.728571429,0.928571429
19,2023-01-16-22,SF,0.358974358974359,0.532608695652174,0.3717948717948718,0.6538461538461539,0.08974359,0.820512821
35,2023-01-17-01,SF,0.3855421686746988,0.4895833333333333,0.3855421686746988,0.4819277108433735,0.493975904,0.843373494
27,2023-01-17-07,SF,0.5189873417721519,0.6046511627906976,0.4430379746835443,0.6708860759493671,0.670886076,0.924050633
74,2023-01-18-01,SF,0.6282051282051282,0.6,0.48717948717948717,0.5769230769230769,0.782051282,0.974358974
