Filename,Best_template,top1,top2,top3,top4,top5,cost,task
2023-01-19-08,2022-08-02-01,0.4782608695652174,0.6304347826086957,0.6956521739130435,0.7391304347826086,0.7608695652173914,6.525892328896577,train_4
2022-06-14-01,2022-06-14-07,0.6075949367088608,0.7341772151898734,0.7974683544303798,0.810126582278481,0.810126582278481,6.149088492676654,train_4
2022-02-11-w03-NP1,2022-01-22-w04-NP1,0.7797619047619048,0.8988095238095238,0.9404761904761904,0.9464285714285714,0.9523809523809524,4.203912455171838,train_4
2022-06-14-13,2022-06-14-07,0.6224489795918368,0.6836734693877551,0.6836734693877551,0.7040816326530612,0.7346938775510204,6.281132708533463,train_4
20230506-15-33-51,20230510-12-53-34,0.6116504854368932,0.6796116504854369,0.7475728155339806,0.7864077669902912,0.7864077669902912,2.956784815320162,train_4
2022-04-01-w00-NP1,2022-01-22-w04-NP1,0.7650602409638554,0.8554216867469879,0.891566265060241,0.9036144578313252,0.9096385542168676,4.243675196533159,train_4
20230904-15-59-40,20230904-14-30-52,0.5,0.6595744680851063,0.7340425531914894,0.7872340425531915,0.7978723404255319,3.5757252698392925,train_4
20190928_11,20190928_03,0.4751381215469613,0.574585635359116,0.6353591160220995,0.6795580110497238,0.6961325966850829,8.158194468703769,train_4
2023-01-06-01,2023-01-10-07,0.4285714285714285,0.5324675324675324,0.5974025974025974,0.6623376623376623,0.6753246753246753,6.7452155271005685,train_4
20190928_03,20190928_11,0.5,0.6309523809523809,0.7023809523809523,0.7261904761904762,0.75,7.069195408644229,train_4
20230904-14-30-52,20230510-15-49-47,0.5251798561151079,0.6258992805755396,0.6546762589928058,0.6618705035971223,0.6690647482014388,2.8045492941490364,train_4
